note_number;Octave;note_name;note
0;0;C;C0
1;0;C#;C#0
2;0;D;D0
3;0;D#;D#0
4;0;E;E0
5;0;F;F0
6;0;F#;F#0
7;0;G;G0
8;0;G#;G#0
9;0;A;A0
10;0;A#;A#0
11;0;B;B0
12;1;C;C1
13;1;C#;C#1
14;1;D;D1
15;1;D#;D#1
16;1;E;E1
17;1;F;F1
18;1;F#;F#1
19;1;G;G1
20;1;G#;G#1
21;1;A;A1
22;1;A#;A#1
23;1;B;B1
24;2;C;C2
25;2;C#;C#2
26;2;D;D2
27;2;D#;D#2
28;2;E;E2
29;2;F;F2
30;2;F#;F#2
31;2;G;G2
32;2;G#;G#2
33;2;A;A2
34;2;A#;A#2
35;2;B;B2
36;3;C;C3
37;3;C#;C#3
38;3;D;D3
39;3;D#;D#3
40;3;E;E3
41;3;F;F3
42;3;F#;F#3
43;3;G;G3
44;3;G#;G#3
45;3;A;A3
46;3;A#;A#3
47;3;B;B3
48;4;C;C4
49;4;C#;C#4
50;4;D;D4
51;4;D#;D#4
52;4;E;E4
53;4;F;F4
54;4;F#;F#4
55;4;G;G4
56;4;G#;G#4
57;4;A;A4
58;4;A#;A#4
59;4;B;B4
60;5;C;C5
61;5;C#;C#5
62;5;D;D5
63;5;D#;D#5
64;5;E;E5
65;5;F;F5
66;5;F#;F#5
67;5;G;G5
68;5;G#;G#5
69;5;A;A5
70;5;A#;A#5
71;5;B;B5
72;6;C;C6
73;6;C#;C#6
74;6;D;D6
75;6;D#;D#6
76;6;E;E6
77;6;F;F6
78;6;F#;F#6
79;6;G;G6
80;6;G#;G#6
81;6;A;A6
82;6;A#;A#6
83;6;B;B6
84;7;C;C7
85;7;C#;C#7
86;7;D;D7
87;7;D#;D#7
88;7;E;E7
89;7;F;F7
90;7;F#;F#7
91;7;G;G7
92;7;G#;G#7
93;7;A;A7
94;7;A#;A#7
95;7;B;B7
96;8;C;C8
97;8;C#;C#8
98;8;D;D8
99;8;D#;D#8
100;8;E;E8
101;8;F;F8
102;8;F#;F#8
103;8;G;G8
104;8;G#;G#8
105;8;A;A8
106;8;A#;A#8
107;8;B;B8
108;9;C;C9
109;9;C#;C#9
110;9;D;D9
111;9;D#;D#9
112;9;E;E9
113;9;F;F9
114;9;F#;F#9
115;9;G;G9
116;9;G#;G#9
117;9;A;A9
118;9;A#;A#9
119;9;B;B9
120;10;C;C10
121;10;C#;C#10
122;10;D;D10
123;10;D#;D#10
124;10;E;E10
125;10;F;F10
126;10;F#;F#10
127;10;G;G10
