note_number;note_name;Cmaj_chord;C#maj_chord;Dmaj_chord;D#maj_chord;Emaj_chord;Fmaj_chord;F#maj_chord;Gmaj_chord;G#maj_chord;Amaj_chord;A#maj_chord;Bmaj_chord;Cmin_chord;C#min_chord;Dmin_chord;D#min_chord;Emin_chord;Fmin_chord;F#min_chord;Gmin_chord;G#min_chord;Amin_chord;A#min_chord;Bmin_chord;Cmaj_scale;C#maj_scale;Dmaj_scale;D#maj_scale;Emaj_scale;Fmaj_scale;F#maj_scale;Gmaj_scale;G#maj_scale;Amaj_scale;A#maj_scale;Bmaj_scale
0;C;1;;;;;1;;;1;;;;1;;;;;;1;;;;1;;1;7;;6;;5;;4;3;;2;
1;C#;;1;;;;;1;;;1;;;;1;;;;;;1;;;;1;;1;7;;6;;5;;4;3;;2
2;D;;;1;;;;;1;;;1;;;;1;;;;;;1;;;;2;;1;7;;6;;5;;4;3;
3;D#;;;;1;;;;;1;;;1;1;;;1;;;;;;1;;;;2;;1;7;;6;;5;;4;3
4;E;1;;;;1;;;;;1;;;;1;;;1;;;;;;1;;3;;2;;1;7;;6;;5;;4
5;F;;1;;;;1;;;;;1;;;;1;;;1;;;;;;1;4;3;;2;;1;7;;6;;5;
6;F#;;;1;;;;1;;;;;1;;;;1;;;1;;;;;;;4;3;;2;;1;7;;6;;5
7;G;1;;;1;;;;1;;;;;1;;;;1;;;1;;;;;5;;4;3;;2;;1;7;;6;
8;G#;;1;;;1;;;;1;;;;;1;;;;1;;;1;;;;;5;;4;3;;2;;1;7;;6
9;A;;;1;;;1;;;;1;;;;;1;;;;1;;;1;;;6;;5;;4;3;;2;;1;7;
10;A#;;;;1;;;1;;;;1;;;;;1;;;;1;;;1;;;6;;5;;4;3;;2;;1;7
11;B;;;;;1;;;1;;;;1;;;;;1;;;;1;;;1;7;;6;;5;;4;3;;2;;1
;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;
